NAMA_UP;NAMA;BLTH;TARIP;DAYA;KDPEMBMETER;JAMNYALA;PEMKWH;RPDISKON
ULP LUBUK ALUNG;PT USAHA INTI PADANG     ;201901;I3;5540000;A;450.412;2495280;0
ULP LUBUK ALUNG;PT.BUMI SARIMAS INDONESIA;201901;LI3;6250000;A;113.421;708880;0
ULP LUBUK ALUNG;PT AP II / MSS;201901;LB3;3115000;A;230.446;717840;0
ULP TABING;PT.BASCO MINANG PLAZ     ;201901;B3;2075000;A;287.161;595860;0
ULP INDARUNG;PACKING PLANT S P        ;201901;I3;7000000;A;243.84;1706880;0
ULP INDARUNG;PT TELUK LUAS            ;201901;I3;4330000;A;203.21;879900;0
ULP INDARUNG;PT.WILMAR NABATI INDONESI;201901;I3;4150000;A;265.027;1099860;0
ULP INDARUNG;PT WIRA INNO MAS         ;201901;I3;6055000;A;285.701;1729920;0
ULP INDARUNG;PT SEMEN PADANG          ;201901;I4;90000000;M;463.634;41727018.7;0
ULP INDARUNG;PT. SEMEN PADANG UNIT VI;201901;I4;50000000;A;437.544;21877200;0
ULP INDARUNG;PT.INCASI RAYA           ;201901;LI3;2180000;A;455.697;993420;0
ULP BELANTI;PT. TRANS RITEL PROPERTY;201901;LB3;3465000;A;189.945;658160;0
ULP BELANTI;RSUP M JAMIL             ;201901;LS3;3465000;A;243.833;844880;0
ULP BELANTI;PT INTI GRIYA PRIMA      ;201901;B3;2425000;A;215.097;521610;0
ULP SUNGAI RUMBAI;PT. INCASI RAYA          ;201901;I3;2770000;A;186.022;515280;0
ULP SUNGAI RUMBAI;PT. DJAMBI WARAS         ;201901;I3;4330000;A;168.513;729660;0
ULP TABING;PT.BASCO MINANG PLAZ     ;201902;B3;2075000;A;277.619;576060;0
ULP LUBUK ALUNG;PT USAHA INTI PADANG     ;201902;I3;5540000;A;404.679;2241920;0
ULP LUBUK ALUNG;PT AP II / MSS;201902;LB3;3115000;A;226.581;705800;0
ULP LUBUK ALUNG;PT.BUMI SARIMAS INDONESIA;201902;LI3;6250000;A;139.75;873440;0
ULP INDARUNG;PT.WILMAR NABATI INDONESI;201902;I3;4150000;A;274.482;1139100;0
ULP INDARUNG;PT WIRA INNO MAS         ;201902;I3;6055000;A;234.86;1422080;0
ULP INDARUNG;PACKING PLANT S P        ;201902;I3;7000000;A;232.457;1627200;0
ULP INDARUNG;PT TELUK LUAS            ;201902;I3;4330000;A;226.406;980340;0
ULP INDARUNG;PT BATANG HARI BARU      ;201902;I3;2180000;A;229.409;500112;0
ULP INDARUNG;PT SEMEN PADANG          ;201902;I4;90000000;M;506.865;45617870.34;0
ULP INDARUNG;PT. SEMEN PADANG UNIT VI;201902;I4;50000000;A;336.144;16807200;0
ULP INDARUNG;PT.INCASI RAYA           ;201902;LI3;2180000;A;465.619;1015050;0
ULP BELANTI;PT INTI GRIYA PRIMA      ;201902;B3;2425000;A;209.295;507540;0
ULP BELANTI;PT. TRANS RITEL PROPERTY;201902;LB3;3465000;A;187.613;650080;0
ULP BELANTI;RSUP M JAMIL             ;201902;LS3;3465000;A;244.537;847320;0
ULP SUNGAI RUMBAI;PT. DJAMBI WARAS         ;201902;I3;4330000;A;160.628;695520;0
ULP SUNGAI RUMBAI;PT. INCASI RAYA          ;201902;I3;2770000;A;207.249;574080;0
ULP TABING;PT.BASCO MINANG PLAZ     ;201903;B3;2075000;A;269.928;560100;0
ULP INDARUNG;PT.INCASI RAYA           ;201903;LI3;2180000;A;275.739;601110;0
ULP BELANTI;RSUP M JAMIL             ;201903;LS3;3465000;A;231.4;801800;0
ULP LUBUK ALUNG;PT USAHA INTI PADANG     ;201903;I3;5540000;A;360.245;1995760;0
ULP LUBUK ALUNG;PT AP II / MSS;201903;LB3;3115000;A;208.873;650640;0
ULP LUBUK ALUNG;PT.BUMI SARIMAS INDONESIA;201903;LI3;6250000;A;135.347;845920;0
ULP BELANTI;PT. TRANS RITEL PROPERTY;201903;LB3;3465000;A;163.902;567920;0
ULP INDARUNG;PACKING PLANT S P        ;201903;I3;7000000;A;225.36;1577520;0
ULP INDARUNG;PT WIRA INNO MAS         ;201903;I3;6055000;A;118.712;718800;0
ULP INDARUNG;PT TELUK LUAS            ;201903;I3;4330000;A;164.758;713400;0
ULP INDARUNG;PT.WILMAR NABATI INDONESI;201903;I3;4150000;A;196.381;814980;0
ULP INDARUNG;PT SEMEN PADANG          ;201903;I4;90000000;M;342.308;30807711.4;0
ULP INDARUNG;PT. SEMEN PADANG UNIT VI;201903;I4;50000000;A;384.6;19230000;0
ULP SUNGAI RUMBAI;PT. DJAMBI WARAS         ;201903;I3;4330000;A;150.305;650820;0
ULP SUNGAI RUMBAI;PT. INCASI RAYA          ;201903;I3;2770000;A;192.91;534360;0
ULP TABING;PT.BASCO MINANG PLAZ     ;201904;B3;2075000;A;301.07;624720;0
ULP LUBUK ALUNG;PT USAHA INTI PADANG     ;201904;I3;5540000;A;454.426;2517520;0
ULP LUBUK ALUNG;PT AP II / MSS;201904;LB3;3115000;A;222.087;691800;0
ULP LUBUK ALUNG;PT.BUMI SARIMAS INDONESIA;201904;LI3;6250000;A;110;687500;0
ULP INDARUNG;PACKING PLANT S P        ;201904;I3;7000000;A;234.48;1641360;0
ULP INDARUNG;PT TELUK LUAS            ;201904;I3;4330000;A;137.279;594420;0
ULP INDARUNG;PT.WILMAR NABATI INDONESI;201904;I3;4150000;A;281.292;1167360;0
ULP INDARUNG;PT. SEMEN PADANG UNIT VI;201904;I4;50000000;A;386.16;19308000;0
ULP INDARUNG;PT SEMEN PADANG          ;201904;I4;90000000;M;468.444;42159949.19;0
ULP INDARUNG;PT.INCASI RAYA           ;201904;LI3;2180000;A;407.752;888900;0
ULP INDARUNG;PT WIRA INNO MAS         ;201904;I3;6055000;A;215.187;1302960;0
ULP BELANTI;PT INTI GRIYA PRIMA      ;201904;B3;2425000;A;215.369;522270;0
ULP BELANTI;PT. TRANS RITEL PROPERTY;201904;LB3;3465000;A;184.773;640240;0
ULP BELANTI;RSUP M JAMIL             ;201904;LS3;3465000;A;252.052;873360;0
ULP SUNGAI RUMBAI;PT. INCASI RAYA          ;201904;I3;2770000;A;212.318;588120;0
ULP SUNGAI RUMBAI;PT. DJAMBI WARAS         ;201904;I3;4330000;A;171.521;742686;0
ULP INDARUNG;PT.INCASI RAYA           ;201905;LI3;2180000;A;278.56;607260;0
ULP BELANTI;PT INTI GRIYA PRIMA      ;201905;B3;2425000;A;210.384;510180;0
ULP BELANTI;PT. TRANS RITEL PROPERTY;201905;LB3;3465000;A;181.149;627680;0
ULP TABING;PT.BASCO MINANG PLAZ     ;201905;B3;2075000;A;306.202;635370;0
ULP LUBUK ALUNG;PT.BUMI SARIMAS INDONESIA;201905;LI3;6250000;A;110;687500;0
ULP LUBUK ALUNG;PT AP II / MSS;201905;LB3;3115000;A;214.279;667480;0
ULP LUBUK ALUNG;PT.JAPFA COMFEED INDONESI;201905;LI3;1730000;A;306.624;530460;0
